az,mail,site,name,address,phone,categories,rating,reviews,latitude,longitude,placeid,website,claimed,opening_hours,addr1,addr2,addr3,addr4,addr5,addr6,addr7,thumbnail,search_string,state,upname,similar
ChIJoVTO8GHNnUcRpB1oBf_LHBQ,info@queri.de,http://www.queri.de/,"""Der Obere Wirt"" zum Queri","Georg-Queri-Ring 9, 82346 Andechs, Germany",+49 8152 91830,"German restaurant, Bavarian restaurant, Beer garden, Hotel",4.6,614.0,48.0093847,11.2146971,ChIJoVTO8GHNnUcRpB1oBf_LHBQ,http://www.queri.de/,yes,,Frieding,Georg-Queri-Ring 9,Georg-Queri-Ring 9,Andechs,82346.0,,DE,https://lh5.googleusercontent.com/p/AF1QipP3mq_TdTNliTAibPDJXnxsDRcgPgk5MUwTmfen=w114-h86-k-no,"restaurants,",Bayern,"""DER OBERE WIRT"" ZUM QUERI",0.2564102564102564
ChIJLTL0zxbjokcRIcraoQH1snE,kontakt@beithemis.de,http://www.beithemis.de/,"""Im Abseits"" bei Themis","Seestraße 29, 97688 Bad Kissingen, Germany",+49 971 60222,Greek restaurant,4.5,669.0,50.188168,10.057887,ChIJLTL0zxbjokcRIcraoQH1snE,http://www.beithemis.de/,yes,"Saturday: 5–10PM, Sunday: 11AM–1:30PM, Monday: Closed, Tuesday: 5–10PM, Wednesday: 5–10PM, Thursday: 5–10PM, Friday: 5–10PM",Garitz,Seestraße 29,Seestraße 29,Bad Kissingen,97688.0,,DE,https://lh5.googleusercontent.com/p/AF1QipO7CNgqi4a1clk3_NzWCfkVujsv27Gm-MiLRXyD=w114-h86-k-no,"restaurants,",Bayern,"""IM ABSEITS"" BEI THEMIS",0.4186046511627907
ChIJqc-kEK9Xn0cRv6QIZ_VM82E,troedelstuben@freenet.de,http://www.restaurant-troedelstuben.de/,"""Trödelstuben"", Wein- und Bierstuben, Restaurant","Trödelmarkt 30, 90403 Nürnberg, Germany",+49 911 36772767,"German restaurant, Bavarian restaurant, Franconian restaurant, Steak house, Wine bar",4.5,2396.0,49.453285,11.0746114,ChIJqc-kEK9Xn0cRv6QIZ_VM82E,http://www.restaurant-troedelstuben.de/,yes,"Wednesday: 11AM–11PM, Thursday: 11AM–11PM, Friday: 11AM–11PM, Saturday: 11AM–11PM, Sunday: 11AM–11PM, Monday: 11AM–11PM, Tuesday: 11AM–11PM",Mitte,Trödelmarkt 30,Trödelmarkt 30,Nuremberg,90403.0,,DE,https://lh5.googleusercontent.com/p/AF1QipOvPhrt6sExkfwQ5X8EEhrTcks7KB5ObHvXS3Px=w176-h86-k-no,"restaurants,",Bayern,"""TRÖDELSTUBEN"", WEIN- UND BIERSTUBEN, RESTAURANT",0.4166666666666667
ChIJzV4ankI2n0cRyL5HKXGiyow,gasthaus@zumhochreiter.de,https://zumhochreiter.de/,"""Zum Hochreiter""","Seeweg 1, 91174 Spalt, Germany",+49 9175 9749,"Franconian restaurant, Cafe, Restaurant",4.4,737.0,49.1452222,10.9159242,ChIJzV4ankI2n0cRyL5HKXGiyow,https://zumhochreiter.de/,yes,"Wednesday: 11AM–10PM, Thursday: 11AM–10PM, Friday: 11AM–10PM, Saturday: 11AM–10PM, Sunday: 11AM–9PM, Monday: Closed, Tuesday: Closed",Enderndorf,Seeweg 1,Seeweg 1,Spalt,91174.0,,DE,https://lh5.googleusercontent.com/p/AF1QipNgEuHwa-11ke2LinILFOIA4jXQ80jSPb5NBZla=w114-h86-k-no,"restaurants,",Bayern,"""ZUM HOCHREITER""",0.5365853658536586
ChIJGUPCG0JUn0cRpipBGNKZqN0,info@altenberger-brauhaus.de,http://www.altenberger-brauhaus.de/,1. Altenberger Brauhaus,"Zirndorfer Str. 18, 90522 Oberasbach, Germany",+49 911 608760,"Restaurant, Beer garden, Brewery, Brewpub, Takeout restaurant",4.6,94.0,49.4369958,10.968558400000001,ChIJGUPCG0JUn0cRpipBGNKZqN0,http://www.altenberger-brauhaus.de/,yes,"Wednesday: 5:30–9:30PM, Thursday: 5:30–9:30PM, Friday: 5:30–9:30PM, Saturday: Closed, Sunday: Closed, Monday: Closed, Tuesday: Closed",Altenberg,Zirndorfer Str. 18,Zirndorfer Str. 18,Oberasbach,90522.0,,DE,https://lh5.googleusercontent.com/p/AF1QipOGkCCSYPy_s6X9kyt1xn8JcJ_znPuWHX-YNdp9=w129-h86-k-no,"restaurants,",Bayern,1. ALTENBERGER BRAUHAUS,0.6666666666666666
ChIJbyPQck1Wn0cRUmY4395kGVE,table@1515rhinocerus.de,http://www.1515rhinocerus.de/,1515 RHINOCERVS,"Rohledererstraße 1, 90419 Nürnberg, Germany",+49 911 30728542,Restaurant,4.6,96.0,49.459082,11.0632734,ChIJbyPQck1Wn0cRUmY4395kGVE,http://www.1515rhinocerus.de/,yes,"Wednesday: Closed, Thursday: 6–10PM, Friday: 6–10PM, Saturday: 6–10PM, Sunday: Closed, Monday: Closed, Tuesday: Closed",Mitte,Rohledererstraße 1,Rohledererstraße 1,Nuremberg,90419.0,,DE,https://lh5.googleusercontent.com/p/AF1QipPazbnGhkDg7t6Jpw5AhAmW3gHzXJasKFgfqyC2=w128-h86-k-no,restaurants,Bayern,1515 RHINOCERVS,0.21052631578947367
ChIJt7Yn0VMjnEcRf2hON1KkytE,hallo@73bb.de,https://www.73bb.de/,73 Burger. Bar. Landsberg am Lech,"Klösterl 73a, 86899 Landsberg am Lech, Germany",+49 8191 9735180,"Hamburger restaurant, American restaurant, Bar, Fast food restaurant, Grocery delivery service, Takeout restaurant",4.2,576.0,48.0476462,10.876133300000001,ChIJt7Yn0VMjnEcRf2hON1KkytE,https://www.73bb.de/,yes,"Saturday: 5–9:30PM, Sunday: 5–9PM, Monday: Closed, Tuesday: 5–9PM, Wednesday: 5–9PM, Thursday: 5–9PM, Friday: 5–9:30PM",,Klösterl 73a,Klösterl 73a,Landsberg am Lech,86899.0,,DE,https://lh5.googleusercontent.com/p/AF1QipO5J3vSsFodjOQbwsvjfe3TSC5g7Gyzo2KRTiKW=w129-h86-k-no,"restaurants,",Bayern,73 BURGER. BAR. LANDSBERG AM LECH,0.17391304347826084
ChIJ6zp1XiPBn0cRLcyKonxX75Q,info@991soy.de,https://www.991soy.de/,991 | SOY Sushi & Panasian,"Drei-Mohren-Straße 1, 93047 Regensburg, Germany",+49 941 59999686,"Asian restaurant, Pan-Asian restaurant, Restaurant, Sushi restaurant",4.5,168.0,49.0196477,12.090440199999998,ChIJ6zp1XiPBn0cRLcyKonxX75Q,https://www.991soy.de/,yes,"Wednesday: 11:30AM–2:30PM, Thursday: 11:30AM–2:30PM, Friday: 11:30AM–2:30PM, Saturday: 11:30AM–2:30PM, Sunday: 11:30AM–2:30PM, Monday: Closed, Tuesday: 11:30AM–2:30PM",,Drei-Mohren-Straße 1,Drei-Mohren-Straße 1,Regensburg,93047.0,,DE,https://lh5.googleusercontent.com/p/AF1QipPOKy_INc_yVozERKWMeQQ1b-uGR6i1jkFnsp3C=w165-h86-k-no,restaurants Regensburg,Bayern,991 | SOY SUSHI & PANASIAN,0.2
ChIJoZCDugB5nEcRSyWsQ3ikkxE,info@ab-restaurant.de,http://ab-restaurant.eu/,AB-Restaurant,"Memminger Str. 6, 87439 Kempten (Allgäu), Germany",,"Vietnamese restaurant, Asian restaurant, Restaurant",4.8,186.0,47.7292032,10.3103135,ChIJoZCDugB5nEcRSyWsQ3ikkxE,http://ab-restaurant.eu/,yes,"Wednesday: 11AM–2:30PM, Thursday: 11AM–2:30PM, Friday: 11AM–2:30PM, Saturday: 5:30–11PM, Sunday: 11AM–2:30PM, Monday: 11AM–2:30PM, Tuesday: 11AM–2:30PM",,Memminger Str. 6,Memminger Str. 6,Kempten,87439.0,,DE,https://lh5.googleusercontent.com/p/AF1QipP2nVEEL37SGOJJdtlZw464ijRgyQSevS6ra_o8=w86-h114-k-no,"restaurants near Kempten, Germany",Bayern,AB-RESTAURANT,0.5882352941176471
ChIJr9115avYnUcRYpl9zlZ7Hmc,mail@abant-restaurant.de,http://www.abant-restaurant.de/,Abant Restaurant,"Ligsalzstraße 46, 80339 München, Germany",+49 89 50096858,"Turkish restaurant, Bar & grill, Coffee shop, Pizza restaurant",4.4,454.0,48.13390070000001,11.5413908,ChIJr9115avYnUcRYpl9zlZ7Hmc,http://www.abant-restaurant.de/,yes,"Saturday: 12PM–1AM, Sunday: 12PM–1AM, Monday: 11:30AM–1AM, Tuesday: 11:30AM–1AM, Wednesday: 11:30AM–1AM, Thursday: 11:30AM–1AM, Friday: 11:30AM–1AM",Schwanthalerhöhe,Ligsalzstraße 46,Ligsalzstraße 46,Munich,80339.0,,DE,https://lh5.googleusercontent.com/p/AF1QipPS1su5K80W4aWNwrnP2-irKQfmN5CcHNHIVMM=w114-h86-k-no,"restaurants,",Bayern,ABANT RESTAURANT,0.65
